epoch	1
Training Loss	29445.806640625
Valid. Loss	25970.315848214286
Training Time	0:00:04
Validation Time	0:00:00
epoch	2
Training Loss	22784.59293094758
Valid. Loss	21125.072265625
Training Time	0:00:03
Validation Time	0:00:00
epoch	3
Training Loss	18347.074880292337
Valid. Loss	17656.821707589286
Training Time	0:00:03
Validation Time	0:00:00
epoch	4
Training Loss	15251.970325100807
Valid. Loss	15087.631417410714
Training Time	0:00:03
Validation Time	0:00:00
epoch	5
Training Loss	12995.90470640121
Valid. Loss	13123.1103515625
Training Time	0:00:03
Validation Time	0:00:00
epoch	6
Training Loss	11280.51943674395
Valid. Loss	11576.316824776786
Training Time	0:00:03
Validation Time	0:00:00
epoch	7
Training Loss	9927.209330897178
Valid. Loss	10327.565011160714
Training Time	0:00:03
Validation Time	0:00:00
epoch	8
Training Loss	8829.220514112903
Valid. Loss	9299.2890625
Training Time	0:00:03
Validation Time	0:00:00
epoch	9
Training Loss	7920.778115549395
Valid. Loss	8438.529715401786
Training Time	0:00:03
Validation Time	0:00:00
epoch	10
Training Loss	7157.675151209677
Valid. Loss	7706.831612723215
Training Time	0:00:03
Validation Time	0:00:00
epoch	11
Training Loss	6507.710480720766
Valid. Loss	7075.609235491072
Training Time	0:00:03
Validation Time	0:00:00
epoch	12
Training Loss	5946.786999117943
Valid. Loss	6523.701590401785
Training Time	0:00:03
Validation Time	0:00:00
epoch	13
Training Loss	5456.896799395161
Valid. Loss	6035.517508370535
Training Time	0:00:03
Validation Time	0:00:00
epoch	14
Training Loss	5024.5899303805445
Valid. Loss	5599.504324776785
Training Time	0:00:03
Validation Time	0:00:00
epoch	15
Training Loss	4639.740313130041
Valid. Loss	5206.980050223215
Training Time	0:00:03
Validation Time	0:00:00
epoch	16
Training Loss	4294.616132182459
Valid. Loss	4851.298060825893
Training Time	0:00:03
Validation Time	0:00:00
epoch	17
Training Loss	3983.2125441028224
Valid. Loss	4527.266322544643
Training Time	0:00:03
Validation Time	0:00:00
epoch	18
Training Loss	3700.7840221774195
Valid. Loss	4230.749790736607
Training Time	0:00:03
Validation Time	0:00:00
epoch	19
Training Loss	3443.516617313508
Valid. Loss	3958.395193917411
Training Time	0:00:03
Validation Time	0:00:00
epoch	20
Training Loss	3208.2972608996974
Valid. Loss	3707.4386858258927
Training Time	0:00:03
Validation Time	0:00:00
epoch	21
Training Loss	2992.549544795867
Valid. Loss	3475.569510323661
Training Time	0:00:03
Validation Time	0:00:00
epoch	22
Training Loss	2794.113753780242
Valid. Loss	3260.831961495536
Training Time	0:00:03
Validation Time	0:00:00
epoch	23
Training Loss	2611.1598333543348
Valid. Loss	3061.5517926897323
Training Time	0:00:03
Validation Time	0:00:00
epoch	24
Training Loss	2442.1216883505545
Valid. Loss	2876.282645089286
Training Time	0:00:03
Validation Time	0:00:00
epoch	25
Training Loss	2285.6473309916832
Valid. Loss	2703.7644391741073
Training Time	0:00:03
Validation Time	0:00:00
epoch	26
Training Loss	2140.560578377016
Valid. Loss	2542.8917410714284
Training Time	0:00:03
Validation Time	0:00:00
epoch	27
Training Loss	2005.8315311554938
Valid. Loss	2392.6873604910716
Training Time	0:00:03
Validation Time	0:00:00
epoch	28
Training Loss	1880.5526595577116
Valid. Loss	2252.28369140625
Training Time	0:00:03
Validation Time	0:00:00
epoch	29
Training Loss	1763.9198824974799
Valid. Loss	2120.90625
Training Time	0:00:03
Validation Time	0:00:00
epoch	30
Training Loss	1655.2173836000504
