epoch	1
Training Loss	9048.347876764114
Valid. Loss	10699.092075892857
Training Time	0:00:04
Validation Time	0:00:00
epoch	2
Training Loss	6570.571667086693
Valid. Loss	8859.81919642857
Training Time	0:00:03
Validation Time	0:00:00
epoch	3
Training Loss	5203.983618951613
Valid. Loss	7513.481166294643
Training Time	0:00:03
Validation Time	0:00:00
epoch	4
Training Loss	4328.975538684475
Valid. Loss	6487.862025669643
Training Time	0:00:03
Validation Time	0:00:00
epoch	5
Training Loss	3709.187240108367
Valid. Loss	5689.833426339285
Training Time	0:00:03
Validation Time	0:00:00
epoch	6
Training Loss	3240.642625378024
Valid. Loss	5051.977434430803
Training Time	0:00:03
Validation Time	0:00:00
epoch	7
Training Loss	2868.7937956779233
Valid. Loss	4526.684326171875
Training Time	0:00:03
Validation Time	0:00:00
epoch	8
Training Loss	2562.440709267893
Valid. Loss	4082.8626534598216
Training Time	0:00:03
Validation Time	0:00:00
epoch	9
Training Loss	2303.3792448966733
Valid. Loss	3701.232421875
Training Time	0:00:03
Validation Time	0:00:00
epoch	10
Training Loss	2080.758970199093
Valid. Loss	3369.5891462053573
Training Time	0:00:03
Validation Time	0:00:00
epoch	11
Training Loss	1887.588158392137
Valid. Loss	3079.3835797991073
Training Time	0:00:03
Validation Time	0:00:00
epoch	12
Training Loss	1718.7999700730848
Valid. Loss	2823.945138113839
Training Time	0:00:03
Validation Time	0:00:00
epoch	13
Training Loss	1570.393806703629
Valid. Loss	2597.796369280134
Training Time	0:00:03
Validation Time	0:00:00
epoch	14
Training Loss	1439.112312563004
Valid. Loss	2396.4112723214284
Training Time	0:00:03
Validation Time	0:00:00
epoch	15
Training Loss	1322.2975641066027
Valid. Loss	2216.0736258370534
Training Time	0:00:03
Validation Time	0:00:00
epoch	16
Training Loss	1217.7877768239666
Valid. Loss	2053.7467912946427
Training Time	0:00:03
Validation Time	0:00:00
epoch	17
Training Loss	1123.824964954007
Valid. Loss	1906.9489571707588
Training Time	0:00:03
Validation Time	0:00:00
epoch	18
Training Loss	1038.9735048355594
Valid. Loss	1773.6415841238838
Training Time	0:00:03
Validation Time	0:00:00
epoch	19
Training Loss	962.0528131300404
Valid. Loss	1652.1391078404017
Training Time	0:00:03
Validation Time	0:00:00
epoch	20
Training Loss	892.0837579542591
Valid. Loss	1541.0353131975446
Training Time	0:00:03
Validation Time	0:00:00
epoch	21
Training Loss	828.2467552923387
Valid. Loss	1439.1470249720983
Training Time	0:00:03
Validation Time	0:00:00
epoch	22
Training Loss	769.8496507213962
Valid. Loss	1345.4703630719866
Training Time	0:00:03
Validation Time	0:00:00
epoch	23
Training Loss	716.3028643208165
Valid. Loss	1259.1460832868304
Training Time	0:00:03
Validation Time	0:00:00
epoch	24
Training Loss	667.1001714891003
Valid. Loss	1179.4337855747767
Training Time	0:00:03
Validation Time	0:00:00
epoch	25
Training Loss	621.8038231634324
Valid. Loss	1105.6906215122767
Training Time	0:00:03
Validation Time	0:00:00
epoch	26
Training Loss	580.032731579196
Valid. Loss	1037.3550763811384
Training Time	0:00:03
Validation Time	0:00:00
epoch	27
Training Loss	541.4531781596522
Valid. Loss	973.9338640485491
Training Time	0:00:03
Validation Time	0:00:00
epoch	28
Training Loss	505.77137411794354
Valid. Loss	914.991472516741
Training Time	0:00:03
Validation Time	0:00:00
epoch	29
Training Loss	472.72745243195567
Valid. Loss	860.1414620535714
Training Time	0:00:03
Validation Time	0:00:00
epoch	30
Training Loss	442.09046394594253
Valid. Loss	809.0394984654018
Training Time	0:00:03
Validation Time	0:00:00
epoch	31
Training Loss	413.6544376496346
Valid. Loss	761.3776332310268
Training Time	0:00:03
Validation Time	0:00:00
epoch	32
Training Loss	387.2349617250504
Valid. Loss	716.8794468470982
Training Time	0:00:03
Validation Time	0:00:00
epoch	33
Training Loss	362.66641629126764
Valid. Loss	675.2960510253906
Training Time	0:00:03
Validation Time	0:00:00
epoch	34
Training Loss	339.7995841733871
Valid. Loss	636.4025573730469
Training Time	0:00:03
Validation Time	0:00:00
epoch	35
Training Loss	318.49967267436364
Valid. Loss	599.995339529855
Training Time	0:00:03
Validation Time	0:00:00
epoch	36
Training Loss	298.6446045906313
Valid. Loss	565.8895132882254
Training Time	0:00:03
Validation Time	0:00:00
epoch	37
Training Loss	280.12357207267513
Valid. Loss	533.916730608259
Training Time	0:00:03
Validation Time	0:00:00
epoch	38
Training Loss	262.8357578400643
Valid. Loss	503.9235621861049
Training Time	0:00:03
Validation Time	0:00:00
epoch	39
Training Loss	246.68926608177924
Valid. Loss	475.7695879255022
Training Time	0:00:03
Validation Time	0:00:00
epoch	40
Training Loss	231.60017444241433
Valid. Loss	449.32641165597096
Training Time	0:00:03
Validation Time	0:00:00
epoch	41
Training Loss	217.491700203188
Valid. Loss	424.47613525390625
Training Time	0:00:03
Validation Time	0:00:00
epoch	42
Training Loss	204.29348853326613
Valid. Loss	401.11043439592635
Training Time	0:00:03
Validation Time	0:00:00
epoch	43
Training Loss	191.94096915952622
Valid. Loss	379.12964957101
Training Time	0:00:03
Validation Time	0:00:00
epoch	44
Training Loss	180.37480803458922
Valid. Loss	358.441885811942
Training Time	0:00:03
Validation Time	0:00:00
epoch	45
Training Loss	169.54038804577243
Valid. Loss	338.9623565673828
Training Time	0:00:03
Validation Time	0:00:00
epoch	46
Training Loss	159.38739432058026
Valid. Loss	320.61270795549666
Training Time	0:00:03
Validation Time	0:00:00
epoch	47
Training Loss	149.8694078999181
Valid. Loss	303.3204018729074
Training Time	0:00:03
Validation Time	0:00:00
epoch	48
Training Loss	140.9435538015058
Valid. Loss	287.01829746791293
Training Time	0:00:03
Validation Time	0:00:00
epoch	49
Training Loss	132.57020642680507
Valid. Loss	271.6440909249442
Training Time	0:00:03
Validation Time	0:00:00
epoch	50
Training Loss	124.71267429474861
Valid. Loss	257.1399492536272
Training Time	0:00:03
Validation Time	0:00:00
epoch	51
Training Loss	117.3369871570218
Valid. Loss	243.45213535853796
